x_m,t_s,T_excess_K,alpha_m2_s,source
0.044,0,49.11436254,1e-05,synthetic_analytical
0.045,0,49.38441703,1e-05,synthetic_analytical
0.046,0,49.60573507,1e-05,synthetic_analytical
0.047,0,49.77809823,1e-05,synthetic_analytical
0.048,0,49.90133642,1e-05,synthetic_analytical
0.049,0,49.97532802,1e-05,synthetic_analytical
0.05,0,50,1e-05,synthetic_analytical
0.051,0,49.97532802,1e-05,synthetic_analytical
0.052,0,49.90133642,1e-05,synthetic_analytical
0.053,0,49.77809823,1e-05,synthetic_analytical
0.054,0,49.60573507,1e-05,synthetic_analytical
0.055,0,49.38441703,1e-05,synthetic_analytical
0.056,0,49.11436254,1e-05,synthetic_analytical
0.057,0,48.7958381,1e-05,synthetic_analytical
0.058,0,48.42915806,1e-05,synthetic_analytical
0.059,0,48.01468428,1e-05,synthetic_analytical
0.06,0,47.55282581,1e-05,synthetic_analytical
0.061,0,47.04403845,1e-05,synthetic_analytical
0.062,0,46.48882429,1e-05,synthetic_analytical
0.063,0,45.88773128,1e-05,synthetic_analytical
0.064,0,45.24135262,1e-05,synthetic_analytical
0.065,0,44.55032621,1e-05,synthetic_analytical
0.066,0,43.815334,1e-05,synthetic_analytical
0.067,0,43.03710135,1e-05,synthetic_analytical
0.068,0,42.21639628,1e-05,synthetic_analytical
0.069,0,41.35402871,1e-05,synthetic_analytical
0.07,0,40.45084972,1e-05,synthetic_analytical
0.071,0,39.50775062,1e-05,synthetic_analytical
0.072,0,38.52566214,1e-05,synthetic_analytical
0.073,0,37.50555348,1e-05,synthetic_analytical
0.074,0,36.44843137,1e-05,synthetic_analytical
0.075,0,35.35533906,1e-05,synthetic_analytical
0.076,0,34.2273553,1e-05,synthetic_analytical
0.077,0,33.06559327,1e-05,synthetic_analytical
0.078,0,31.87119949,1e-05,synthetic_analytical
0.079,0,30.64535268,1e-05,synthetic_analytical
0.08,0,29.38926261,1e-05,synthetic_analytical
0.081,0,28.10416889,1e-05,synthetic_analytical
0.082,0,26.79133975,1e-05,synthetic_analytical
0.083,0,25.45207079,1e-05,synthetic_analytical
0.084,0,24.08768371,1e-05,synthetic_analytical
0.085,0,22.69952499,1e-05,synthetic_analytical
0.086,0,21.28896458,1e-05,synthetic_analytical
0.087,0,19.85739453,1e-05,synthetic_analytical
0.088,0,18.40622763,1e-05,synthetic_analytical
0.089,0,16.93689601,1e-05,synthetic_analytical
0.09,0,15.45084972,1e-05,synthetic_analytical
0.091,0,13.9495553,1e-05,synthetic_analytical
0.092,0,12.43449436,1e-05,synthetic_analytical
0.093,0,10.90716207,1e-05,synthetic_analytical
0.094,0,9.369065729,1e-05,synthetic_analytical
0.095,0,7.821723252,1e-05,synthetic_analytical
0.096,0,6.266661678,1e-05,synthetic_analytical
0.097,0,4.705415666,1e-05,synthetic_analytical
0.098,0,3.139525976,1e-05,synthetic_analytical
0.099,0,1.570537954,1e-05,synthetic_analytical
0.1,0,6.123233996e-15,1e-05,synthetic_analytical
0,4,0,1e-05,synthetic_analytical
0.001,4,1.50974353,1e-05,synthetic_analytical
0.002,4,3.017997126,1e-05,synthetic_analytical
0.003,4,4.523272323,1e-05,synthetic_analytical
0.004,4,6.024083596,1e-05,synthetic_analytical
0.005,4,7.518949826,1e-05,synthetic_analytical
0.006,4,9.00639576,1e-05,synthetic_analytical
0.007,4,10.48495347,1e-05,synthetic_analytical
0.008,4,11.95316379,1e-05,synthetic_analytical
0.009,4,13.40957779,1e-05,synthetic_analytical
0.01,4,14.85275815,1e-05,synthetic_analytical
0.011,4,16.28128064,1e-05,synthetic_analytical
0.012,4,17.69373546,1e-05,synthetic_analytical
0.013,4,19.0887287,1e-05,synthetic_analytical
0.014,4,20.46488368,1e-05,synthetic_analytical
0.015,4,21.82084228,1e-05,synthetic_analytical
0.016,4,23.15526635,1e-05,synthetic_analytical
0.017,4,24.46683896,1e-05,synthetic_analytical
0.018,4,25.75426576,1e-05,synthetic_analytical
0.019,4,27.01627621,1e-05,synthetic_analytical
0.02,4,28.25162485,1e-05,synthetic_analytical
0.021,4,29.45909255,1e-05,synthetic_analytical
0.022,4,30.63748769,1e-05,synthetic_analytical
0.023,4,31.78564732,1e-05,synthetic_analytical
0.024,4,32.90243836,1e-05,synthetic_analytical
0.025,4,33.98675866,1e-05,synthetic_analytical
0.026,4,35.03753813,1e-05,synthetic_analytical
0.027,4,36.05373979,1e-05,synthetic_analytical
0.028,4,37.03436075,1e-05,synthetic_analytical
0.029,4,37.97843328,1e-05,synthetic_analytical
0.03,4,38.88502567,1e-05,synthetic_analytical
0.031,4,39.75324324,1e-05,synthetic_analytical
0.032,4,40.58222916,1e-05,synthetic_analytical
0.033,4,41.37116531,1e-05,synthetic_analytical
0.034,4,42.11927313,1e-05,synthetic_analytical
0.035,4,42.8258143,1e-05,synthetic_analytical
0.036,4,43.49009156,1e-05,synthetic_analytical
0.037,4,44.11144936,1e-05,synthetic_analytical
0.038,4,44.68927448,1e-05,synthetic_analytical
0.039,4,45.22299668,1e-05,synthetic_analytical
0.04,4,45.71208925,1e-05,synthetic_analytical
0.041,4,46.1560695,1e-05,synthetic_analytical
0.042,4,46.55449928,1e-05,synthetic_analytical
0.043,4,46.9069854,1e-05,synthetic_analytical
0.044,4,47.21317998,1e-05,synthetic_analytical
0.045,4,47.47278085,1e-05,synthetic_analytical
0.046,4,47.68553182,1e-05,synthetic_analytical
0.047,4,47.85122293,1e-05,synthetic_analytical
0.048,4,47.96969066,1e-05,synthetic_analytical
0.049,4,48.04081809,1e-05,synthetic_analytical
0.05,4,48.06453504,1e-05,synthetic_analytical
0.051,4,48.04081809,1e-05,synthetic_analytical
0.052,4,47.96969066,1e-05,synthetic_analytical
0.053,4,47.85122293,1e-05,synthetic_analytical
0.054,4,47.68553182,1e-05,synthetic_analytical
0.055,4,47.47278085,1e-05,synthetic_analytical
0.056,4,47.21317998,1e-05,synthetic_analytical
0.057,4,46.9069854,1e-05,synthetic_analytical
0.058,4,46.55449928,1e-05,synthetic_analytical
0.059,4,46.1560695,1e-05,synthetic_analytical
0.06,4,45.71208925,1e-05,synthetic_analytical
0.061,4,45.22299668,1e-05,synthetic_analytical
0.062,4,44.68927448,1e-05,synthetic_analytical
0.063,4,44.11144936,1e-05,synthetic_analytical
0.064,4,43.49009156,1e-05,synthetic_analytical
0.065,4,42.8258143,1e-05,synthetic_analytical
0.066,4,42.11927313,1e-05,synthetic_analytical
0.067,4,41.37116531,1e-05,synthetic_analytical
0.068,4,40.58222916,1e-05,synthetic_analytical
0.069,4,39.75324324,1e-05,synthetic_analytical
0.07,4,38.88502567,1e-05,synthetic_analytical
0.071,4,37.97843328,1e-05,synthetic_analytical
0.072,4,37.03436075,1e-05,synthetic_analytical
0.073,4,36.05373979,1e-05,synthetic_analytical
0.074,4,35.03753813,1e-05,synthetic_analytical
0.075,4,33.98675866,1e-05,synthetic_analytical
0.076,4,32.90243836,1e-05,synthetic_analytical
0.077,4,31.78564732,1e-05,synthetic_analytical
0.078,4,30.63748769,1e-05,synthetic_analytical
0.079,4,29.45909255,1e-05,synthetic_analytical
0.08,4,28.25162485,1e-05,synthetic_analytical
0.081,4,27.01627621,1e-05,synthetic_analytical
0.082,4,25.75426576,1e-05,synthetic_analytical
0.083,4,24.46683896,1e-05,synthetic_analytical
0.084,4,23.15526635,1e-05,synthetic_analytical
0.085,4,21.82084228,1e-05,synthetic_analytical
0.086,4,20.46488368,1e-05,synthetic_analytical
0.087,4,19.0887287,1e-05,synthetic_analytical
0.088,4,17.69373546,1e-05,synthetic_analytical
0.089,4,16.28128064,1e-05,synthetic_analytical
0.09,4,14.85275815,1e-05,synthetic_analytical
0.091,4,13.40957779,1e-05,synthetic_analytical
0.092,4,11.95316379,1e-05,synthetic_analytical
0.093,4,10.48495347,1e-05,synthetic_analytical
0.094,4,9.00639576,1e-05,synthetic_analytical
0.095,4,7.518949826,1e-05,synthetic_analytical
0.096,4,6.024083596,1e-05,synthetic_analytical
0.097,4,4.523272323,1e-05,synthetic_analytical
0.098,4,3.017997126,1e-05,synthetic_analytical
0.099,4,1.50974353,1e-05,synthetic_analytical
0.1,4,5.886207898e-15,1e-05,synthetic_analytical
0,8,0,1e-05,synthetic_analytical
0.001,8,1.451302416,1e-05,synthetic_analytical
0.002,8,2.901172572,1e-05,synthetic_analytical
0.003,8,4.348179621,1e-05,synthetic_analytical
0.004,8,5.790895541,1e-05,synthetic_analytical
0.005,8,7.227896547,1e-05,synthetic_analytical
0.006,8,8.657764491,1e-05,synthetic_analytical
0.007,8,10.07908827,1e-05,synthetic_analytical
0.008,8,11.4904652,1e-05,synthetic_analytical
0.009,8,12.89050243,1e-05,synthetic_analytical
0.01,8,14.27781829,1e-05,synthetic_analytical
0.011,8,15.65104367,1e-05,synthetic_analytical
0.012,8,17.00882336,1e-05,synthetic_analytical
0.013,8,18.34981739,1e-05,synthetic_analytical
0.014,8,19.67270237,1e-05,synthetic_analytical
0.015,8,20.97617277,1e-05,synthetic_analytical
0.016,8,22.25894221,1e-05,synthetic_analytical
0.017,8,23.51974477,1e-05,synthetic_analytical
0.018,8,24.75733618,1e-05,synthetic_analytical
0.019,8,25.97049509,1e-05,synthetic_analytical
0.02,8,27.15802425,1e-05,synthetic_analytical
0.021,8,28.31875172,1e-05,synthetic_analytical
0.022,8,29.45153201,1e-05,synthetic_analytical
0.023,8,30.55524719,1e-05,synthetic_analytical
0.024,8,31.62880802,1e-05,synthetic_analytical
0.025,8,32.67115505,1e-05,synthetic_analytical
0.026,8,33.68125958,1e-05,synthetic_analytical
0.027,8,34.65812478,1e-05,synthetic_analytical
0.028,8,35.6007866,1e-05,synthetic_analytical
0.029,8,36.50831474,1e-05,synthetic_analytical
0.03,8,37.37981357,1e-05,synthetic_analytical
0.031,8,38.21442305,1e-05,synthetic_analytical
0.032,8,39.0113195,1e-05,synthetic_analytical
0.033,8,39.76971649,1e-05,synthetic_analytical
0.034,8,40.48886558,1e-05,synthetic_analytical
0.035,8,41.16805704,1e-05,synthetic_analytical
0.036,8,41.80662059,1e-05,synthetic_analytical
0.037,8,42.40392607,1e-05,synthetic_analytical
0.038,8,42.95938398,1e-05,synthetic_analytical
0.039,8,43.47244617,1e-05,synthetic_analytical
0.04,8,43.94260631,1e-05,synthetic_analytical
0.041,8,44.36940039,1e-05,synthetic_analytical
0.042,8,44.75240724,1e-05,synthetic_analytical
0.043,8,45.09124886,1e-05,synthetic_analytical
0.044,8,45.38559086,1e-05,synthetic_analytical
0.045,8,45.63514277,1e-05,synthetic_analytical
0.046,8,45.8396583,1e-05,synthetic_analytical
0.047,8,45.99893562,1e-05,synthetic_analytical
0.048,8,46.11281754,1e-05,synthetic_analytical
0.049,8,46.18119168,1e-05,synthetic_analytical
0.05,8,46.20399056,1e-05,synthetic_analytical
0.051,8,46.18119168,1e-05,synthetic_analytical
0.052,8,46.11281754,1e-05,synthetic_analytical
0.053,8,45.99893562,1e-05,synthetic_analytical
0.054,8,45.8396583,1e-05,synthetic_analytical
0.055,8,45.63514277,1e-05,synthetic_analytical
0.056,8,45.38559086,1e-05,synthetic_analytical
0.057,8,45.09124886,1e-05,synthetic_analytical
0.058,8,44.75240724,1e-05,synthetic_analytical
0.059,8,44.36940039,1e-05,synthetic_analytical
0.06,8,43.94260631,1e-05,synthetic_analytical
0.061,8,43.47244617,1e-05,synthetic_analytical
0.062,8,42.95938398,1e-05,synthetic_analytical
0.063,8,42.40392607,1e-05,synthetic_analytical
0.064,8,41.80662059,1e-05,synthetic_analytical
0.065,8,41.16805704,1e-05,synthetic_analytical
0.066,8,40.48886558,1e-05,synthetic_analytical
0.067,8,39.76971649,1e-05,synthetic_analytical
0.068,8,39.0113195,1e-05,synthetic_analytical
0.069,8,38.21442305,1e-05,synthetic_analytical
0.07,8,37.37981357,1e-05,synthetic_analytical
0.071,8,36.50831474,1e-05,synthetic_analytical
0.072,8,35.6007866,1e-05,synthetic_analytical
0.073,8,34.65812478,1e-05,synthetic_analytical
0.074,8,33.68125958,1e-05,synthetic_analytical
0.075,8,32.67115505,1e-05,synthetic_analytical
0.076,8,31.62880802,1e-05,synthetic_analytical
0.077,8,30.55524719,1e-05,synthetic_analytical
0.078,8,29.45153201,1e-05,synthetic_analytical
0.079,8,28.31875172,1e-05,synthetic_analytical
0.08,8,27.15802425,1e-05,synthetic_analytical
0.081,8,25.97049509,1e-05,synthetic_analytical
0.082,8,24.75733618,1e-05,synthetic_analytical
0.083,8,23.51974477,1e-05,synthetic_analytical
0.084,8,22.25894221,1e-05,synthetic_analytical
0.085,8,20.97617277,1e-05,synthetic_analytical
0.086,8,19.67270237,1e-05,synthetic_analytical
0.087,8,18.34981739,1e-05,synthetic_analytical
0.088,8,17.00882336,1e-05,synthetic_analytical
0.089,8,15.65104367,1e-05,synthetic_analytical
0.09,8,14.27781829,1e-05,synthetic_analytical
0.091,8,12.89050243,1e-05,synthetic_analytical
0.092,8,11.4904652,1e-05,synthetic_analytical
0.093,8,10.07908827,1e-05,synthetic_analytical
0.094,8,8.657764491,1e-05,synthetic_analytical
0.095,8,7.227896547,1e-05,synthetic_analytical
0.096,8,5.790895541,1e-05,synthetic_analytical
0.097,8,4.348179621,1e-05,synthetic_analytical
0.098,8,2.901172572,1e-05,synthetic_analytical
0.099,8,1.451302416,1e-05,synthetic_analytical
0.1,8,5.658356915e-15,1e-05,synthetic_analytical
0,12,0,1e-05,synthetic_analytical
0.001,12,1.395123517,1e-05,synthetic_analytical
0.002,12,2.788870215,1e-05,synthetic_analytical
0.003,12,4.179864634,1e-05,synthetic_analytical
0.004,12,5.566734032,1e-05,synthetic_analytical
0.005,12,6.948109736,1e-05,synthetic_analytical
0.006,12,8.322628494,1e-05,synthetic_analytical
0.007,12,9.688933823,1e-05,synthetic_analytical
0.008,12,11.04567734,1e-05,synthetic_analytical
0.009,12,12.39152011,1e-05,synthetic_analytical
0.01,12,13.72513395,1e-05,synthetic_analytical
0.011,12,15.04520274,1e-05,synthetic_analytical
0.012,12,16.35042373,1e-05,synthetic_analytical
0.013,12,17.63950882,1e-05,synthetic_analytical
0.014,12,18.91118585,1e-05,synthetic_analytical
0.015,12,20.16419982,1e-05,synthetic_analytical
0.016,12,21.39731416,1e-05,synthetic_analytical
0.017,12,22.60931193,1e-05,synthetic_analytical
0.018,12,23.79899704,1e-05,synthetic_analytical
0.019,12,24.96519542,1e-05,synthetic_analytical
0.02,12,26.10675616,1e-05,synthetic_analytical
0.021,12,27.22255269,1e-05,synthetic_analytical
0.022,12,28.31148384,1e-05,synthetic_analytical
0.023,12,29.37247498,1e-05,synthetic_analytical
0.024,12,30.40447903,1e-05,synthetic_analytical
0.025,12,31.40647753,1e-05,synthetic_analytical
0.026,12,32.37748163,1e-05,synthetic_analytical
0.027,12,33.31653306,1e-05,synthetic_analytical
0.028,12,34.2227051,1e-05,synthetic_analytical
0.029,12,35.09510346,1e-05,synthetic_analytical
0.03,12,35.93286718,1e-05,synthetic_analytical
0.031,12,36.73516951,1e-05,synthetic_analytical
0.032,12,37.50121866,1e-05,synthetic_analytical
0.033,12,38.23025864,1e-05,synthetic_analytical
0.034,12,38.92156996,1e-05,synthetic_analytical
0.035,12,39.5744704,1e-05,synthetic_analytical
0.036,12,40.18831561,1e-05,synthetic_analytical
0.037,12,40.7624998,1e-05,synthetic_analytical
0.038,12,41.29645633,1e-05,synthetic_analytical
0.039,12,41.78965824,1e-05,synthetic_analytical
0.04,12,42.24161881,1e-05,synthetic_analytical
0.041,12,42.65189199,1e-05,synthetic_analytical
0.042,12,43.02007291,1e-05,synthetic_analytical
0.043,12,43.34579821,1e-05,synthetic_analytical
0.044,12,43.62874644,1e-05,synthetic_analytical
0.045,12,43.86863837,1e-05,synthetic_analytical
0.046,12,44.06523725,1e-05,synthetic_analytical
0.047,12,44.21834905,1e-05,synthetic_analytical
0.048,12,44.32782269,1e-05,synthetic_analytical
0.049,12,44.39355011,1e-05,synthetic_analytical
0.05,12,44.41546647,1e-05,synthetic_analytical
0.051,12,44.39355011,1e-05,synthetic_analytical
0.052,12,44.32782269,1e-05,synthetic_analytical
0.053,12,44.21834905,1e-05,synthetic_analytical
0.054,12,44.06523725,1e-05,synthetic_analytical
0.055,12,43.86863837,1e-05,synthetic_analytical
0.056,12,43.62874644,1e-05,synthetic_analytical
0.057,12,43.34579821,1e-05,synthetic_analytical
0.058,12,43.02007291,1e-05,synthetic_analytical
0.059,12,42.65189199,1e-05,synthetic_analytical
0.06,12,42.24161881,1e-05,synthetic_analytical
0.061,12,41.78965824,1e-05,synthetic_analytical
0.062,12,41.29645633,1e-05,synthetic_analytical
0.063,12,40.7624998,1e-05,synthetic_analytical
0.064,12,40.18831561,1e-05,synthetic_analytical
0.065,12,39.5744704,1e-05,synthetic_analytical
0.066,12,38.92156996,1e-05,synthetic_analytical
0.067,12,38.23025864,1e-05,synthetic_analytical
0.068,12,37.50121866,1e-05,synthetic_analytical
0.069,12,36.73516951,1e-05,synthetic_analytical
0.07,12,35.93286718,1e-05,synthetic_analytical
0.071,12,35.09510346,1e-05,synthetic_analytical
0.072,12,34.2227051,1e-05,synthetic_analytical
0.073,12,33.31653306,1e-05,synthetic_analytical
0.074,12,32.37748163,1e-05,synthetic_analytical
0.075,12,31.40647753,1e-05,synthetic_analytical
0.076,12,30.40447903,1e-05,synthetic_analytical
0.077,12,29.37247498,1e-05,synthetic_analytical
0.078,12,28.31148384,1e-05,synthetic_analytical
0.079,12,27.22255269,1e-05,synthetic_analytical
0.08,12,26.10675616,1e-05,synthetic_analytical
0.081,12,24.96519542,1e-05,synthetic_analytical
0.082,12,23.79899704,1e-05,synthetic_analytical
0.083,12,22.60931193,1e-05,synthetic_analytical
0.084,12,21.39731416,1e-05,synthetic_analytical
0.085,12,20.16419982,1e-05,synthetic_analytical
0.086,12,18.91118585,1e-05,synthetic_analytical
0.087,12,17.63950882,1e-05,synthetic_analytical
0.088,12,16.35042373,1e-05,synthetic_analytical
0.089,12,15.04520274,1e-05,synthetic_analytical
0.09,12,13.72513395,1e-05,synthetic_analytical
0.091,12,12.39152011,1e-05,synthetic_analytical
0.092,12,11.04567734,1e-05,synthetic_analytical
0.093,12,9.688933823,1e-05,synthetic_analytical
0.094,12,8.322628494,1e-05,synthetic_analytical
0.095,12,6.948109736,1e-05,synthetic_analytical
0.096,12,5.566734032,1e-05,synthetic_analytical
0.097,12,4.179864634,1e-05,synthetic_analytical
0.098,12,2.788870215,1e-05,synthetic_analytical
0.099,12,1.395123517,1e-05,synthetic_analytical
0.1,12,5.439325884e-15,1e-05,synthetic_analytical
0,16,0,1e-05,synthetic_analytical
0.001,16,1.341119263,1e-05,synthetic_analytical
0.002,16,2.680915003,1e-05,synthetic_analytical
0.003,16,4.018065003,1e-05,synthetic_analytical
0.004,16,5.351249659,1e-05,synthetic_analytical
0.005,16,6.679153277,1e-05,synthetic_analytical
0.006,16,8.000465377,1e-05,synthetic_analytical
0.007,16,9.313881984,1e-05,synthetic_analytical
0.008,16,10.61810691,1e-05,synthetic_analytical
0.009,16,11.91185305,1e-05,synthetic_analytical
0.01,16,13.19384363,1e-05,synthetic_analytical
0.011,16,14.46281348,1e-05,synthetic_analytical
0.012,16,15.71751028,1e-05,synthetic_analytical
0.013,16,16.95669579,1e-05,synthetic_analytical
0.014,16,18.17914709,1e-05,synthetic_analytical
0.015,16,19.38365777,1e-05,synthetic_analytical
0.016,16,20.56903912,1e-05,synthetic_analytical
0.017,16,21.73412131,1e-05,synthetic_analytical
0.018,16,22.87775455,1e-05,synthetic_analytical
0.019,16,23.9988102,1e-05,synthetic_analytical
0.02,16,25.09618193,1e-05,synthetic_analytical
0.021,16,26.16878675,1e-05,synthetic_analytical
0.022,16,27.21556614,1e-05,synthetic_analytical
0.023,16,28.23548705,1e-05,synthetic_analytical
0.024,16,29.22754295,1e-05,synthetic_analytical
0.025,16,30.19075479,1e-05,synthetic_analytical
0.026,16,31.124172,1e-05,synthetic_analytical
0.027,16,32.02687341,1e-05,synthetic_analytical
0.028,16,32.89796816,1e-05,synthetic_analytical
0.029,16,33.73659659,1e-05,synthetic_analytical
0.03,16,34.54193107,1e-05,synthetic_analytical
0.031,16,35.31317684,1e-05,synthetic_analytical
0.032,16,36.04957277,1e-05,synthetic_analytical
0.033,16,36.75039211,1e-05,synthetic_analytical
0.034,16,37.41494326,1e-05,synthetic_analytical
0.035,16,38.04257038,1e-05,synthetic_analytical
0.036,16,38.63265407,1e-05,synthetic_analytical
0.037,16,39.184612,1e-05,synthetic_analytical
0.038,16,39.69789944,1e-05,synthetic_analytical
0.039,16,40.17200985,1e-05,synthetic_analytical
0.04,16,40.60647534,1e-05,synthetic_analytical
0.041,16,41.00086714,1e-05,synthetic_analytical
0.042,16,41.35479604,1e-05,synthetic_analytical
0.043,16,41.66791274,1e-05,synthetic_analytical
0.044,16,41.93990824,1e-05,synthetic_analytical
0.045,16,42.17051412,1e-05,synthetic_analytical
0.046,16,42.35950279,1e-05,synthetic_analytical
0.047,16,42.50668775,1e-05,synthetic_analytical
0.048,16,42.61192373,1e-05,synthetic_analytical
0.049,16,42.6751069,1e-05,synthetic_analytical
0.05,16,42.69617488,1e-05,synthetic_analytical
0.051,16,42.6751069,1e-05,synthetic_analytical
0.052,16,42.61192373,1e-05,synthetic_analytical
0.053,16,42.50668775,1e-05,synthetic_analytical
0.054,16,42.35950279,1e-05,synthetic_analytical
0.055,16,42.17051412,1e-05,synthetic_analytical
0.056,16,41.93990824,1e-05,synthetic_analytical
0.057,16,41.66791274,1e-05,synthetic_analytical
0.058,16,41.35479604,1e-05,synthetic_analytical
0.059,16,41.00086714,1e-05,synthetic_analytical
0.06,16,40.60647534,1e-05,synthetic_analytical
0.061,16,40.17200985,1e-05,synthetic_analytical
0.062,16,39.69789944,1e-05,synthetic_analytical
0.063,16,39.184612,1e-05,synthetic_analytical
0.064,16,38.63265407,1e-05,synthetic_analytical
0.065,16,38.04257038,1e-05,synthetic_analytical
0.066,16,37.41494326,1e-05,synthetic_analytical
0.067,16,36.75039211,1e-05,synthetic_analytical
0.068,16,36.04957277,1e-05,synthetic_analytical
0.069,16,35.31317684,1e-05,synthetic_analytical
0.07,16,34.54193107,1e-05,synthetic_analytical
0.071,16,33.73659659,1e-05,synthetic_analytical
0.072,16,32.89796816,1e-05,synthetic_analytical
0.073,16,32.02687341,1e-05,synthetic_analytical
0.074,16,31.124172,1e-05,synthetic_analytical
0.075,16,30.19075479,1e-05,synthetic_analytical
0.076,16,29.22754295,1e-05,synthetic_analytical
0.077,16,28.23548705,1e-05,synthetic_analytical
0.078,16,27.21556614,1e-05,synthetic_analytical
0.079,16,26.16878675,1e-05,synthetic_analytical
0.08,16,25.09618193,1e-05,synthetic_analytical
0.081,16,23.9988102,1e-05,synthetic_analytical
0.082,16,22.87775455,1e-05,synthetic_analytical
0.083,16,21.73412131,1e-05,synthetic_analytical
0.084,16,20.56903912,1e-05,synthetic_analytical
0.085,16,19.38365777,1e-05,synthetic_analytical
0.086,16,18.17914709,1e-05,synthetic_analytical
0.087,16,16.95669579,1e-05,synthetic_analytical
0.088,16,15.71751028,1e-05,synthetic_analytical
0.089,16,14.46281348,1e-05,synthetic_analytical
0.09,16,13.19384363,1e-05,synthetic_analytical
0.091,16,11.91185305,1e-05,synthetic_analytical
0.092,16,10.61810691,1e-05,synthetic_analytical
0.093,16,9.313881984,1e-05,synthetic_analytical
0.094,16,8.000465377,1e-05,synthetic_analytical
0.095,16,6.679153277,1e-05,synthetic_analytical
0.096,16,5.351249659,1e-05,synthetic_analytical
0.097,16,4.018065003,1e-05,synthetic_analytical
0.098,16,2.680915003,1e-05,synthetic_analytical
0.099,16,1.341119263,1e-05,synthetic_analytical
0.1,16,5.228773391e-15,1e-05,synthetic_analytical
0,20,0,1e-05,synthetic_analytical
0.001,20,1.289205476,1e-05,synthetic_analytical
0.002,20,2.577138662,1e-05,synthetic_analytical
0.003,20,3.862528523,1e-05,synthetic_analytical
0.004,20,5.144106534,1e-05,synthetic_analytical
0.005,20,6.420607934,1e-05,synthetic_analytical
0.006,20,7.690772969,1e-05,synthetic_analytical
0.007,20,8.953348139,1e-05,synthetic_analytical
0.008,20,10.20708744,1e-05,synthetic_analytical
0.009,20,11.45075357,1e-05,synthetic_analytical
0.01,20,12.68311919,1e-05,synthetic_analytical
0.011,20,13.90296811,1e-05,synthetic_analytical
0.012,20,15.10909647,1e-05,synthetic_analytical
0.013,20,16.30031398,1e-05,synthetic_analytical
0.014,20,17.47544505,1e-05,synthetic_analytical
0.015,20,18.63332996,1e-05,synthetic_analytical
0.016,20,19.77282603,1e-05,synthetic_analytical
0.017,20,20.8928087,1e-05,synthetic_analytical
0.018,20,21.9921727,1e-05,synthetic_analytical
0.019,20,23.06983307,1e-05,synthetic_analytical
0.02,20,24.12472631,1e-05,synthetic_analytical
0.021,20,25.15581135,1e-05,synthetic_analytical
0.022,20,26.16207065,1e-05,synthetic_analytical
0.023,20,27.14251113,1e-05,synthetic_analytical
0.024,20,28.09616524,1e-05,synthetic_analytical
0.025,20,29.02209183,1e-05,synthetic_analytical
0.026,20,29.91937711,1e-05,synthetic_analytical
0.027,20,30.78713558,1e-05,synthetic_analytical
0.028,20,31.62451087,1e-05,synthetic_analytical
0.029,20,32.43067658,1e-05,synthetic_analytical
0.03,20,33.20483713,1e-05,synthetic_analytical
0.031,20,33.94622851,1e-05,synthetic_analytical
